Model,Micro-F1,Macro-F1,Micro-Prec,Micro-Rec,AUROC,Threshold
A: TF-IDF + SGD,0.5951871964354457,0.569617395460235,0.49408125106238315,0.7483188647574325,0.9250181378401239,0.5250000000000001
B: ClinicalBERT (512-tok),0.5241979953103661,0.44289303236017447,0.5246549340815779,0.5237418517717569,0.868642157779963,0.2750000000000001
C: Chunk + Label Attn,0.5305,0.5,0.4191,0.7225,0.8938,0.625
