Model,Threshold,Micro-F1,Macro-F1,Micro-Prec,Micro-Rec,Macro-AUPRC,Micro-AUROC
Model A (TF-IDF LR),0.525,0.5952,0.5696,0.4941,0.7483,0.5741,0.925
Model B (ClinicalBERT),0.275,0.5242,0.4429,0.5247,0.5237,0.4541,0.8686
