epoch,train_loss,val_f1_at_0.5,val_f1_tuned,best_threshold
1,0.023,0.416,0.5724,0.325
2,0.0205,0.4942,0.6054,0.375
3,0.0197,0.4824,0.6212,0.35
4,0.0191,0.4969,0.6276,0.35
5,0.0188,0.5096,0.6325,0.35
6,0.0187,0.5152,0.6341,0.35
7,0.0185,0.5131,0.6349,0.35
