Model,Micro-F1,Macro-F1,AUROC
A: TF-IDF + SGD,0.5951871964354457,0.569617395460235,0.9250181378401239
B: ClinicalBERT,0.5241979953103661,0.44289303236017447,0.868642157779963
C v1: Chunk+BERT+Attn,0.5305,0.5,0.8938
C v2: Fixed+Focal,0.5508,0.4309,0.9185
D: BiLSTM-LAAT,0.7176,0.6635,0.9523
